cont_cummunal_number,2019_kg,2019_kg_percent,2019_num,2019_num_percent
70201,84918,1.24,17,0.89
70202,159268,2.33,39,2.05
70203,332797,4.86,110,5.78
70204,19029,0.28,6,0.32
70205,62785,0.92,38,2.00
70206,12577,0.18,12,0.63
70207,16642,0.24,12,0.63
70208,271453,3.97,56,2.94
70209,162688,2.38,58,3.05
70210,21074,0.31,24,1.26
70211,33482,0.49,10,0.53
70212,80502,1.18,31,1.63
70213,40643,0.59,14,0.74
70214,117589,1.72,19,1.00
70215,69845,1.02,22,1.16
70216,41149,0.60,13,0.68
70217,117426,1.72,47,2.47
70218,64938,0.95,14,0.74
70219,78920,1.15,16,0.84
70221,50822,0.74,19,1.00
70222,84902,1.24,60,3.15
70223,133058,1.94,26,1.37
70224,72795,1.06,12,0.63
70357,442373,6.46,209,10.98
70368,35062,0.51,14,0.74
70602,20899,0.31,7,0.37
70603,200613,2.93,30,1.58
70604,79264,1.16,23,1.21
70605,33940,0.50,10,0.53
70606,86525,1.26,26,1.37
70607,76943,1.12,19,1.00
70608,625717,9.14,45,2.36
70609,146732,2.14,25,1.31
70612,74666,1.09,14,0.74
70614,232663,3.40,61,3.21
70615,113874,1.66,17,0.89
70616,81295,1.19,20,1.05
70617,119507,1.75,36,1.89
70619,72224,1.06,30,1.58
70620,141174,2.06,41,2.15
70622,43103,0.63,8,0.42
70623,64809,0.95,11,0.58
70624,261730,3.82,30,1.58
70625,5516,0.08,2,0.11
70626,16232,0.24,11,0.58
70627,36199,0.53,12,0.63
70628,14174,0.21,2,0.11
70629,20423,0.30,12,0.63
70630,168738,2.47,40,2.10
70801,27782,0.41,11,0.58
70802,55752,0.81,26,1.37
70803,33287,0.49,12,0.63
70804,37310,0.55,14,0.74
70805,48402,0.71,24,1.26
70806,26734,0.39,17,0.89
70807,162737,2.38,29,1.52
70808,46519,0.68,26,1.37
70809,12514,0.18,11,0.58
70810,7154,0.10,6,0.32
70811,99391,1.45,16,0.84
70813,17515,0.26,6,0.32
70814,32927,0.48,21,1.10
70815,2936,0.04,2,0.11
70816,29979,0.44,11,0.58
70817,28258,0.41,11,0.58
70819,1876,0.03,2,0.11
70820,45102,0.66,9,0.47
70821,132318,1.93,28,1.47
70822,8059,0.12,11,0.58
70823,4084,0.06,4,0.21
70824,33484,0.49,12,0.63
70825,7885,0.12,4,0.21
70826,29191,0.43,13,0.68
70827,10062,0.15,6,0.32
70828,285112,4.17,46,2.42
70830,18564,0.27,11,0.58
70831,29414,0.43,11,0.58
70832,96479,1.41,12,0.63
70833,38058,0.56,22,1.16
70834,7779,0.11,6,0.32
70835,25136,0.37,11,0.58
70836,30798,0.45,11,0.58
70837,27261,0.40,11,0.58
